id,name,country_id,region_id,order,latitude,longitude
1,Abra,174,2,2,17.5951122,120.7982528
2,Agusan del Norte,174,17,3,8.9456259,125.5319234
3,Agusan del Sur,174,17,4,8.6051665,125.916739
4,Aklan,174,9,5,11.8166109,122.0941541
5,Albay,174,8,6,13.1774827,123.5280072
6,Antique,174,9,7,11.380579,122.0635005
7,Apayao,174,2,8,18.0120304,121.1710389
8,Aurora,174,5,9,7.9545804,123.5951925
9,Basilan,174,18,10,6.4296349,121.9870165
10,Bataan,174,5,11,14.6416842,120.4818446
11,Batanes,174,4,12,20.4485074,121.9708129
12,Batangas,174,6,13,13.7564651,121.0583076
13,Benguet,174,2,14,16.5577257,120.8039474
14,Biliran,174,11,15,11.5106303,124.4974405
15,Bohol,174,10,16,9.8499911,124.1435427
16,Bukidnon,174,14,17,8.0515054,124.9229946
17,Bulacan,174,5,18,14.7942735,120.8799008
18,Cagayan,174,4,19,18.2489629,121.8787833
19,Camarines Norte,174,8,20,14.1390265,122.7633036
20,Camarines Sur,174,8,21,13.5250197,123.3486147
21,Camiguin,174,14,22,9.1732164,124.7298765
22,Capiz,174,9,23,11.3888799,122.6277455
23,Catanduanes,174,8,24,13.7088684,124.2421597
24,Cavite,174,6,25,14.4791297,120.8969634
25,Cebu,174,10,26,10.3156992,123.8854366
26,Compostela Valley,174,15,27,7.512515,126.1762615
27,Cotabato,174,16,28,7.2046668,124.2310439
28,Davao del Norte,174,15,29,7.5617699,125.6532848
29,Davao del Sur,174,15,30,6.7662687,125.3284269
30,Davao Oriental,174,15,31,7.3171585,126.5419887
31,Eastern Samar,174,11,32,11.5000731,125.4999908
32,Guimaras,174,9,33,10.5928661,122.6325081
33,Ifugao,174,2,34,16.8330792,121.1710389
34,Ilocos Norte,174,3,35,18.1647281,120.7115592
35,Ilocos Sur,174,3,36,17.2278664,120.5739579
36,Iloilo,174,9,37,10.7201501,122.5621063
37,Isabela,174,4,38,16.9753758,121.8107079
38,Kalinga,174,2,39,17.4740422,121.3541631
39,La Union,174,3,40,16.6158906,120.3209373
40,Laguna,174,6,41,14.1406629,121.4691774
41,Lanao del Norte,174,14,42,7.8721811,123.8857747
42,Lanao del Sur,174,18,43,7.823176,124.4198243
43,Leyte,174,11,44,11.3496551,124.4641848
44,Maguindanao,174,18,45,6.9422581,124.4198243
45,Marinduque,174,7,46,13.4767171,121.9032192
46,Masbate,174,8,47,12.3574346,123.5504076
47,Metro Manila,174,1,1,14.6090537,121.0222565
48,Misamis Occidental,174,14,48,8.3374903,123.7070619
49,Misamis Oriental,174,14,49,8.5045558,124.6219592
50,Mountain Province,174,2,50,17.0663429,121.03351
51,Negros Occidental,174,12,51,10.2925609,123.0246518
52,Negros Oriental,174,12,52,9.6282083,122.9888319
53,Northern Samar,174,11,53,12.3613199,124.7740793
54,Nueva Ecija,174,5,54,15.578375,121.1112615
55,Nueva Vizcaya,174,4,55,16.3301107,121.1710389
56,Occidental Mindoro,174,7,56,13.1024111,120.7651284
57,Oriental Mindoro,174,7,57,13.0564598,121.4069417
58,Palawan,174,7,58,9.8349493,118.7383615
59,Pampanga,174,5,59,15.079409,120.6199895
60,Pangasinan,174,3,60,15.8949055,120.2863183
61,Quezon,174,6,61,14.0313906,122.1130909
62,Quirino,174,4,62,17.1755008,121.7423434
63,Rizal,174,6,63,14.6037446,121.3084088
64,Romblon,174,7,64,12.5778554,122.269129
65,Samar,174,11,65,11.932458,125.0388164
66,Sarangani,174,16,66,5.9267175,124.994751
67,Siquijor,174,10,67,9.2132631,123.5157032
68,Sorsogon,174,8,68,12.9927095,124.0147464
69,South Cotabato,174,16,69,6.3357565,124.7740793
70,Southern Leyte,174,11,70,10.3346206,125.1708741
71,Sultan Kudarat,174,16,71,6.5069401,124.4198243
72,Sulu,174,18,72,5.9749011,121.03351
73,Surigao del Norte,174,17,73,9.514828,125.6969984
74,Surigao del Sur,174,17,74,8.5404906,126.1144758
75,Tarlac,174,5,75,15.4754786,120.5963492
76,Tawi-Tawi,174,18,76,5.133811,119.950926
77,Zambales,174,5,77,15.5081766,119.9697808
78,Zamboanga del Norte,174,13,78,8.3886282,123.1688883
79,Zamboanga del Sur,174,13,79,7.8383054,123.2966657
80,Zamboanga Sibugay,174,13,80,7.5225247,122.3107517